Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
HISTORIC FOURTH WARD PARK,124,61,63,9,5,12,18,35,29,5,11,0.0,25.11,10.5
JACKSON STREET BRIDGE,14,7,7,1,0,1,2,0,0,5,5,0.0,0.0,2.0
WEST END STATION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
THE COCA-COLA COMPANY,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,3.0
TECH PARKWAY,9,4,5,0,1,2,1,2,0,0,3,0.0,0.0,3.0
GEORGIA TECH - CRC,6,3,3,0,1,3,2,0,0,0,0,0.0,0.0,3.0
GEORGIA TECH - WEST CAMPUS HOUSING ,5,4,1,0,0,1,0,3,1,0,0,0.0,0.0,3.0
HOME PARK,4,2,2,2,1,0,1,0,0,0,0,0.0,0.0,4.0
CENTRAL PARK,2,1,1,0,0,0,0,1,0,0,1,0.0,0.0,4.0
GEORGIA TECH - TRANSIT HUB,7,2,5,0,0,1,4,0,1,1,0,0.0,0.0,4.0
GEORGIA TECH - BOBBY DODD STADIUM,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,7.0
STATE & 11TH,7,5,2,0,1,4,0,1,1,0,0,0.0,0.0,3.0
14TH & HOWELL MILL,4,2,2,0,0,0,2,2,0,0,0,0.0,0.0,9.0
MARTA - INMAN PARK ,11,7,4,0,0,4,4,3,0,0,0,27.8,0.0,1.5
VIRGINIA-HIGHLAND,13,7,6,0,1,4,1,3,4,0,0,6.14,0.0,3.5
INMAN PARK VILLAGE,2,0,2,0,0,0,0,0,2,0,0,0.0,0.0,2.5
GRANT PARK ,8,4,4,0,0,3,1,1,3,0,0,0.0,0.0,9.0
HIGHLAND - FREEDOM TRAIL,13,8,5,0,0,3,1,5,2,0,2,0.0,58.0,7.0
PONCE - HIGHLAND,4,1,3,0,1,1,1,0,1,0,0,0.0,0.0,10.0
